,ZTF,CRAFT,MeerTRAP,Pan-STARRS,VLA-realfast,ATLAS,GaiaAlerts,Tianlai,ALERT,TRAPUM,UTMOST,FRBCAT,VLITE-Fast,GBNCC,MASTER,ASAS-SN,CHIME,PARKES,FAST
ZTF,1.0,-0.0004681417594142708,-0.000230262322592367,-0.00016279353830997916,-0.00011510304509373109,-0.00014097760160395828,-0.00011510304509373183,-8.138683161064482e-05,-0.00028019494545740984,-8.138683161064475e-05,-0.00011510304509373089,-0.0006586594499872085,-8.138683161064479e-05,-8.138683161064482e-05,-8.138683161064483e-05,-8.138683161064471e-05,0.018447576447698146,-0.0003385991113791733,-0.00018201611779666466
CRAFT,-0.0004681417594142708,1.0,0.06032414330053634,-0.000936397841487423,-0.0006620793680961007,-0.0008109113126385561,-0.0006620793680961039,-0.00046814175941427115,-0.0016116975209569623,-0.00046814175941427055,-0.0006620793680960993,0.051175812168425885,-0.00046814175941427115,-0.00046814175941427115,-0.00046814175941427104,-0.0004681417594142705,-0.008723073497681564,0.031017400635135566,-0.0010469672297200197
MeerTRAP,-0.00023026232259236703,0.06032414330053634,1.0,-0.00046058087644466677,-0.00032565335173055166,-0.00039885850494987275,-0.00032565335173055345,-0.00023026232259236714,-0.0007927368303059301,-0.00023026232259236687,-0.000325653351730551,0.03530971670026131,-0.00023026232259236714,-0.00023026232259236714,-0.0002302623225923671,-0.00023026232259236684,-0.0024151560950559396,-0.0009579758330791498,-0.0005149660357047758
Pan-STARRS,-0.0001627935383099792,-0.0009363978414874229,-0.00046058087644466677,1.0,-0.00023023419895130539,0.2884753921788607,0.3534094953902416,-0.00016279353830997933,-0.0005604583159816432,-0.0001627935383099792,-0.00023023419895130468,-0.0013174797480468344,-0.00016279353830997933,-0.00016279353830997892,-0.00016279353830997933,-0.00016279353830997835,-0.00428130538614716,-0.000677280910427048,-0.0003640766848784603
VLA-realfast,-0.00011510304509373109,-0.0006620793680961006,-0.00032565335173055166,-0.0002302341989513054,1.0,-0.00019938054981985697,-0.00016278691193228307,-0.00011510304509373114,-0.0003962716179481015,-0.0001151030450937311,-0.00016278691193228175,-0.0009315230347826198,-0.00011510304509373117,-0.0001151030450937312,-0.00011510304509373121,-0.00011510304509373103,-0.0030270936551756353,-0.0004788709428108121,-0.00025742013787639803
ATLAS,-0.00014097760160395828,-0.0008109113126385561,-0.00039885850494987275,0.2884753921788607,-0.000199380549819857,1.0,0.8164633515122959,-0.00014097760160395838,-0.00048535138437519944,-0.00014097760160395822,-0.0001993805498198566,-0.0011409244922717212,-0.0001409776016039584,-0.00014097760160395838,-0.00014097760160395838,-0.0001409776016039582,-0.0037075683183681826,-0.0005865186011396959,-0.00031528682506029864
GaiaAlerts,-0.00011510304509373183,-0.000662079368096104,-0.00032565335173055345,0.3534094953902416,-0.00016278691193228307,0.816463351512296,1.0,-0.00011510304509373193,-0.00039627161794810383,-0.00011510304509373178,-0.00016278691193228278,-0.0009315230347826243,-0.00011510304509373192,-0.00011510304509373192,-0.0001151030450937319,-0.00011510304509373177,-0.0030270936551756627,-0.0004788709428108149,-0.0002574201378763997
Tianlai,-8.138683161064482e-05,-0.00046814175941427115,-0.00023026232259236717,-0.00016279353830997933,-0.00011510304509373113,-0.00014097760160395836,-0.00011510304509373194,1.0,-0.0002801949454574109,-8.138683161064482e-05,-0.00011510304509373101,-0.0006586594499872091,-8.138683161064486e-05,-8.138683161064486e-05,-8.138683161064491e-05,-8.138683161064474e-05,0.01844757644769817,-0.0003385991113791736,-0.00018201611779666477
ALERT,-0.0002801949454574099,-0.0016116975209569623,-0.00079273683030593,-0.0005604583159816432,-0.0003962716179481015,-0.00048535138437519944,-0.0003962716179481039,-0.000280194945457411,1.0,-0.0002801949454574107,-0.00039627161794810074,0.0218573399466604,-0.000280194945457411,-0.000280194945457411,-0.000280194945457411,-0.0002801949454574106,0.011532312396379432,-0.0011657138835271536,-0.0006266369532898267
TRAPUM,-8.138683161064475e-05,-0.00046814175941427055,-0.0002302623225923669,-0.00016279353830997916,-0.00011510304509373109,-0.00014097760160395822,-0.0001151030450937318,-8.138683161064482e-05,-0.00028019494545741076,1.0,-0.00011510304509373093,-0.0006586594499872085,-8.138683161064485e-05,-8.13868316106448e-05,-8.138683161064482e-05,-8.13868316106447e-05,-0.0021403913457094885,-0.00033859911137917317,-0.00018201611779666466
