,ZTF,CRAFT,MeerTRAP,Pan-STARRS,ALeRCE,ATLAS,VLA-realfast,GaiaAlerts,UTMOST,Tianlai,ALERT,TRAPUM,PALFA,FRBCAT,VLITE-Fast,GBNCC,MASTER,ASAS-SN,CHIME,PARKES,FAST
ZTF,1.0,-0.00016838797335754434,-0.00028205854028420736,-0.00016279353830997916,-8.138683161064474e-05,-0.0001627935383099791,-0.0001627935383099784,-0.00016279353830997873,-0.00016279353830997816,-8.138683161064482e-05,-0.00033642264702249413,-8.138683161064475e-05,-8.138683161064482e-05,-0.0003811018271008616,-8.138683161064479e-05,-8.138683161064482e-05,-8.138683161064483e-05,-8.138683161064471e-05,0.005519141305340759,-0.0007089223072351799,-0.0002700394939902237
CRAFT,-0.00016838797335754434,1.0,0.005218174375053651,-0.0003368170679362802,-0.00016838797335754434,-0.00033681706793627997,-0.0003368170679362797,-0.00033681706793627883,-0.0003368170679362778,-0.00016838797335754448,-0.0006960527471410875,-0.00016838797335754426,-0.0001683879733575445,0.03413069074892017,-0.00016838797335754453,-0.00016838797335754445,-0.00016838797335754443,-0.00016838797335754424,0.01620764045479228,0.0006935540856959163,-0.0005587071301294298
MeerTRAP,-0.00028205854028420736,0.005218174375053651,1.0,-0.0005641859607348112,-0.00028205854028420736,-0.0005641859607348111,-0.00056418596073481,-0.0005641859607348092,-0.0005641859607348073,-0.0002820585402842075,-0.0011659242516243022,-0.00028205854028420725,-0.0002820585402842075,0.008925181701052193,-0.0002820585402842076,-0.0002820585402842075,-0.0002820585402842075,-0.00028205854028420715,-0.0028658928506678275,0.028602923752126766,-0.0009358632592843977
Pan-STARRS,-0.0001627935383099792,-0.0003368170679362802,-0.0005641859607348111,1.0,-0.00016279353830997922,0.24975577987626207,-0.00032562683165093733,0.24975577987626216,-0.0003256268316509353,-0.00016279353830997933,-0.0006729274502097464,-0.0001627935383099792,-0.00016279353830997933,-0.0007622967212552441,-0.00016279353830997933,-0.00016279353830997892,-0.00016279353830997933,-0.00016279353830997835,-0.0022059858069402357,-0.0014180177369946235,-0.0005401449330330629
ALeRCE,-8.138683161064474e-05,-0.00016838797335754434,-0.00028205854028420736,-0.00016279353830997922,1.0,0.49993895614993417,-0.00016279353830997878,-0.00016279353830997873,-0.00016279353830997822,-8.138683161064479e-05,-0.00033642264702249516,-8.138683161064478e-05,-8.138683161064483e-05,-0.00038110182710086177,-8.13868316106448e-05,-8.138683161064485e-05,-8.138683161064485e-05,-8.138683161064472e-05,-0.001102858241603267,-0.0007089223072351799,-0.00027003949399022364
ATLAS,-0.0001627935383099791,-0.0003368170679362799,-0.0005641859607348111,0.24975577987626207,0.4999389561499342,1.0,-0.00032562683165093717,0.49983718658417514,-0.00032562683165093586,-0.00016279353830997922,-0.0006729274502097464,-0.0001627935383099792,-0.0001627935383099793,-0.0007622967212552445,-0.00016279353830997925,-0.00016279353830997933,-0.0001627935383099793,-0.00016279353830997908,-0.0022059858069402357,-0.0014180177369946235,-0.0005401449330330629
VLA-realfast,-0.0001627935383099784,-0.0003368170679362797,-0.0005641859607348099,-0.00032562683165093733,-0.00016279353830997876,-0.00032562683165093717,1.0,-0.00032562683165093635,-0.0003256268316509353,-0.00016279353830997892,-0.0006729274502097434,-0.0001627935383099788,-0.00016279353830997895,0.31857072978275774,-0.0001627935383099789,-0.00016279353830997897,-0.00016279353830997897,-0.00016279353830997873,0.15177430275880424,-0.0014180177369946217,-0.0005401449330330615
GaiaAlerts,-0.00016279353830997873,-0.00033681706793627883,-0.0005641859607348092,0.24975577987626216,-0.00016279353830997873,0.49983718658417514,-0.00032562683165093635,1.0,-0.0003256268316509338,-0.0001627935383099788,-0.0006729274502097443,-0.00016279353830997865,-0.0001627935383099788,-0.0007622967212552413,-0.0001627935383099788,-0.0001627935383099788,-0.00016279353830997878,-0.00016279353830997857,-0.0022059858069402296,-0.0014180177369946185,-0.000540144933033061
UTMOST,-0.0001627935383099782,-0.0003368170679362778,-0.0005641859607348073,-0.0003256268316509353,-0.00016279353830997822,-0.00032562683165093586,-0.0003256268316509353,-0.0003256268316509338,1.0,-0.0001627935383099783,-0.0006729274502097421,-0.00016279353830997816,-0.0001627935383099783,-0.0007622967212552388,-0.0001627935383099783,-0.00016279353830997794,-0.0001627935383099783,-0.00016279353830997773,-0.002205985806940222,-0.001418017736994615,-0.0005401449330330593
Tianlai,-8.138683161064482e-05,-0.00016838797335754448,-0.0002820585402842075,-0.00016279353830997933,-8.13868316106448e-05,-0.0001627935383099792,-0.00016279353830997892,-0.0001627935383099788,-0.00016279353830997832,1.0,-0.00033642264702249527,-8.138683161064482e-05,-8.138683161064485e-05,-0.0003811018271008619,-8.138683161064486e-05,-8.138683161064486e-05,-8.138683161064491e-05,-8.138683161064474e-05,0.005519141305340781,-0.0007089223072351803,-0.0002700394939902238
ALERT,-0.00033642264702249413,-0.0006960527471410873,-0.0011659242516243022,-0.0006729274502097465,-0.0003364226470224952,-0.0006729274502097464,-0.0006729274502097434,-0.0006729274502097443,-0.0006729274502097421,-0.00033642264702249527,1.0,-0.0003364226470224951,-0.0003364226470224953,0.004800715500685167,-0.00033642264702249527,-0.0003364226470224954,-0.0003364226470224953,-0.0003364226470224949,0.04661655065811973,-0.0029304190175915338,-0.0011162420206185365
