,ZTF,CRAFT,MeerTRAP,Pan-STARRS,ALeRCE,ATLAS,VLA-realfast,GaiaAlerts,UTMOST,Tianlai,ALERT,TRAPUM,PALFA,FRBCAT,VLITE-Fast,GBNCC,MASTER,ASAS-SN,CHIME,PARKES,FAST
ZTF,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
CRAFT,0.0,100.0,3.8834951456310676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.42718446601942,0.0,0.0,0.0,0.0,74.75728155339806,5.825242718446602,0.0
MeerTRAP,0.0,33.33333333333333,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,8.333333333333332,25.0,0.0
Pan-STARRS,0.0,0.0,0.0,100.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0
ALeRCE,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
ATLAS,0.0,0.0,0.0,25.0,25.0,100.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0
VLA-realfast,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,25.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
GaiaAlerts,0.0,0.0,0.0,25.0,0.0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
UTMOST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0
Tianlai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
ALERT,0.0,0.0,0.0,0.0,0.0,0.0,4.3478260869565215,0.0,0.0,0.0,100.0,0.0,0.0,13.043478260869565,0.0,0.0,0.0,0.0,100.0,0.0,0.0
TRAPUM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
PALFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
FRBCAT,0.0,14.393939393939394,3.0303030303030303,0.7575757575757576,0.0,0.7575757575757576,15.909090909090908,1.5151515151515151,0.7575757575757576,0.0,15.909090909090908,0.0,0.0,100.0,0.0,0.0,0.0,0.0,53.03030303030303,5.303030303030303,0.7575757575757576
VLITE-Fast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0
GBNCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0
MASTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0
ASAS-SN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0
CHIME,1.0261421939897386,2.4920596139750795,0.09772782799902273,0.2931834839970682,0.19545565599804546,0.19545565599804546,5.326166625946739,0.0,0.024431956999755682,0.537503053994625,12.411434155875886,0.048863913999511364,0.07329587099926704,7.671634497923284,0.3909113119960909,0.17102369899828976,0.19545565599804546,0.1465917419985341,100.0,1.1238700219887612,1.5636452479843637
PARKES,0.0,13.580246913580247,2.4691358024691357,0.0,0.0,1.2345679012345678,0.0,2.4691358024691357,0.0,0.0,0.0,0.0,0.0,17.28395061728395,0.0,0.0,0.0,0.0,17.28395061728395,100.0,0.0
FAST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092,0.0,0.0,0.0,0.0,72.72727272727273,0.0,100.0
