Name,Reporting Group/s,RA,DEC,Discovery Mag/Flux,flux,SNR
AT 2025frb,ZTF,230.52540416666665,75.57111666666667,19.3716,,
FRB 20240826A,CRAFT,339.61598749999996,-30.13839722222222,0.0,,
FRB 20240619D,MeerTRAP,297.3717083333333,-25.21372222222222,,,
FRB 20240318A,CRAFT,150.46083333333334,37.61363888888889,0.0,,
FRB 20240316B,CRAFT,298.96545,-65.43581111111112,0.0,,
FRB 20240310A,CRAFT,17.740416666666665,-44.40145555555556,0.0,,
FRB 20240304A,CRAFT,136.33041666666665,-16.228194444444444,0.0,,
FRB 20240216A,CRAFT,153.08291666666662,14.040555555555555,,,
FRB 20240210A,CRAFT,9.979333333333333,-27.65966111111111,0.0,,
FRB 20240208A,CRAFT,159.19375,-0.5639694444444445,0.0,,
FRB 20240201A,CRAFT,150.454625,13.913480555555555,,,
AT 2024afrb,Pan-STARRS,2.9782791666666664,-36.313630555555555,20.99,,
AT 2024frb,"ALeRCE, ATLAS",283.3075833333333,32.42106666666666,20.3346,,
FRB 20231226A,CRAFT,155.28166666666664,6.129416666666666,0.0,,
FRB 20231027A,CRAFT,255.07541666666663,-7.278944444444444,,,
FRB 20231006A,CRAFT,296.00333333333333,-64.64894444444445,0.0,,
FRB 20230930A,VLA-realfast,10.507224999999998,41.41733611111111,,,
FRB 20230902A,CRAFT,52.367083333333326,-47.562638888888884,0.0,,
FRB 20230814A,,335.97458333333327,73.02591666666666,0.0,,
FRB 20230808F,MeerTRAP,53.303999999999995,-51.93528333333333,,,
FRB 20230731A,CRAFT,174.6670833333333,-56.97197222222223,0.0,,
FRB 20230718A,CRAFT,127.61291666666665,-41.00355555555556,0.0,,
FRB 20230708A,CRAFT,303.23708333333326,-55.38066666666667,0.0,,
FRB 20230526A,CRAFT,22.364583333333332,-52.76880555555555,0.0,,
FRB 20230521A,CRAFT,327.75124999999997,-2.386,0.0,,
FRB 20230506C,VLA-realfast,12.0998375,42.00608888888889,,,
AT 2023frb,"ATLAS, Pan-STARRS, GaiaAlerts",308.5640833333333,-22.317280555555556,18.512,,
FRB 20221128A,UTMOST,112.49999999999999,-41.533055555555556,32.0,,
FRB 20221106A,CRAFT,56.65874999999999,-25.66247222222222,0.0,,
FRB 20220925A,CRAFT,93.22683333333332,4.671055555555556,,,
FRB 20220923A,CRAFT,93.22683333333332,4.671055555555556,,,
FRB 20220918A,CRAFT,17.741249999999997,-70.78497222222222,0.0,,
FRB 20220909A,CRAFT,93.22683333333332,4.671055555555556,,,
FRB 20220908B,CRAFT,93.22683333333332,4.671055555555556,,,
FRB 20220908A,CRAFT,93.22683333333332,4.671055555555556,,,
FRB 20220905A,MeerTRAP,253.58249166666664,-20.071180555555554,,,
FRB 20220725A,CRAFT,336.74999999999994,34.88333333333333,0.0,,
FRB 20220717A,MeerTRAP,293.30383333333333,-19.287583333333334,,,
FRB 20220713A,CRAFT,93.22683333333332,4.671055555555556,,,
FRB 20220706A,CRAFT,93.22683333333332,4.671055555555556,,,
FRB 20220627C,CRAFT,93.22683333333332,4.671055555555556,,,
FRB 20220627B,CRAFT,93.22683333333332,4.671055555555556,,,
FRB 20220627A,CRAFT,93.22683333333332,4.671055555555556,,,
FRB 20220625A,CRAFT,93.22683333333332,4.671055555555556,,,
FRB 20220610A,CRAFT,350.99999999999994,-33.516666666666666,0.0,,
FRB 20220606A,CRAFT,93.22683333333332,4.671055555555556,,,
FRB 20220531A,CRAFT,294.70916666666665,-60.29672222222222,,,
FRB 20220518A,CRAFT,93.22683333333332,4.671055555555556,,,
FRB 20220517A,CRAFT,93.22683333333332,4.671055555555556,,,
FRB 20220507B,CRAFT,93.22683333333332,4.671055555555556,,,
FRB 20220501D,CRAFT,93.22683333333332,4.671055555555556,,,
FRB 20220501C,CRAFT,352.4583333333333,-32.45,0.0,,
FRB 20220425B,CRAFT,93.22683333333332,4.671055555555556,,,
FRB 20220414A,Tianlai,196.08749999999998,48.30138888888889,128.4,,
FRB 20220329D,CRAFT,93.22683333333332,4.671055555555556,,,
FRB 20220318D,CRAFT,93.22683333333332,4.671055555555556,,,
FRB 20220317F,CRAFT,93.22683333333332,4.671055555555556,,,
FRB 20220308F,CRAFT,93.22683333333332,4.671055555555556,,,
FRB 20220228H,CRAFT,93.22683333333332,4.671055555555556,,,
FRB 20220228G,CRAFT,93.22683333333332,4.671055555555556,,,
FRB 20220110A,CRAFT,93.22683333333332,4.671055555555556,,,
FRB 20220105A,CRAFT,208.96416666666664,22.488805555555558,0.0,,
AT 2022frb,"GaiaAlerts, ATLAS",50.983416666666656,-21.527438888888888,17.53,,
FRB 20211212A,CRAFT,157.66958333333332,1.6768888888888887,,,
FRB 20211203C,CRAFT,204.47,-31.36777777777778,0.0,,
FRB 20211127I,CRAFT,199.7895833333333,-18.824555555555555,,,
FRB 20211024B,ALERT,200.14464999999998,42.49138888888889,,,
FRB 20210924D,TRAPUM,152.75208333333333,-4.691666666666667,,,
FRB 20210914D,CRAFT,93.22899999999998,4.645444444444444,,,
FRB 20210912A,CRAFT,351.1679166666666,-30.492527777777777,,,
FRB 20210809C,CRAFT,271.15708333333333,1.3287499999999999,,,
FRB 20210808D,CRAFT,93.22899999999998,4.645444444444444,,,
FRB 20210808C,CRAFT,93.22899999999998,4.645444444444444,,,
