,ZTF,CRAFT,MeerTRAP,Pan-STARRS,VLA-realfast,ATLAS,GaiaAlerts,Tianlai,ALERT,TRAPUM,UTMOST,FRBCAT,VLITE-Fast,GBNCC,MASTER,ASAS-SN,CHIME,PARKES,FAST
ZTF,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
CRAFT,0.0,100.0,12.121212121212121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.242424242424242,0.0,0.0,0.0,0.0,33.33333333333333,9.090909090909092,0.0
MeerTRAP,0.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0
Pan-STARRS,0.0,0.0,0.0,100.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0
VLA-realfast,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
ATLAS,0.0,0.0,0.0,33.33333333333333,0.0,100.0,66.66666666666666,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0
GaiaAlerts,0.0,0.0,0.0,50.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tianlai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
ALERT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,13.333333333333334,0.0,0.0,0.0,0.0,100.0,0.0,0.0
TRAPUM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
UTMOST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0
FRBCAT,0.0,23.376623376623375,5.194805194805195,1.2987012987012987,3.896103896103896,1.2987012987012987,1.2987012987012987,0.0,3.896103896103896,0.0,0.0,100.0,0.0,0.0,0.0,0.0,33.76623376623377,5.194805194805195,0.0
VLITE-Fast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0
GBNCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0
MASTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0
ASAS-SN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0
CHIME,1.643835616438356,1.9178082191780823,0.15655577299412915,0.46966731898238745,0.46966731898238745,0.0,0.0,0.8610567514677104,10.606653620352251,0.07827788649706457,0.03913894324853229,4.461839530332681,0.6262230919765166,0.273972602739726,0.3131115459882583,0.23483365949119372,100.0,0.273972602739726,1.9569471624266144
PARKES,0.0,27.27272727272727,0.0,0.0,0.0,4.545454545454546,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,9.090909090909092,100.0,0.0
FAST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,100.0
