Name,Reporting Group/s,RA,DEC,Discovery Mag/Flux,flux,SNR
FRB 20240826A,CRAFT,339.61598749999996,-30.13839722222222,0.0,,
FRB 20240619D,MeerTRAP,297.3717083333333,-25.21372222222222,,,
FRB 20240316B,CRAFT,298.96545,-65.43581111111112,0.0,,
FRB 20240310A,CRAFT,17.740416666666665,-44.40145555555556,0.0,,
FRB 20240304A,CRAFT,136.33041666666665,-16.228194444444444,0.0,,
FRB 20240210A,CRAFT,9.979333333333333,-27.65966111111111,0.0,,
FRB 20240208A,CRAFT,159.19375,-0.5639694444444445,0.0,,
AT 2024afrb,Pan-STARRS,2.9782791666666664,-36.313630555555555,20.99,,
FRB 20231027A,CRAFT,255.07541666666663,-7.278944444444444,,,
FRB 20231006A,CRAFT,296.00333333333333,-64.64894444444445,0.0,,
FRB 20230902A,CRAFT,52.367083333333326,-47.562638888888884,0.0,,
FRB 20230808F,MeerTRAP,53.303999999999995,-51.93528333333333,,,
FRB 20230731A,CRAFT,174.6670833333333,-56.97197222222223,0.0,,
FRB 20230718A,CRAFT,127.61291666666665,-41.00355555555556,0.0,,
FRB 20230708A,CRAFT,303.23708333333326,-55.38066666666667,0.0,,
FRB 20230526A,CRAFT,22.364583333333332,-52.76880555555555,0.0,,
FRB 20230521A,CRAFT,327.75124999999997,-2.386,0.0,,
AT 2023frb,"ATLAS, Pan-STARRS, GaiaAlerts",308.5640833333333,-22.317280555555556,18.512,,
FRB 20221128A,UTMOST,112.49999999999999,-41.533055555555556,32.0,,
FRB 20221106A,CRAFT,56.65874999999999,-25.66247222222222,0.0,,
FRB 20220918A,CRAFT,17.741249999999997,-70.78497222222222,0.0,,
FRB 20220905A,MeerTRAP,253.58249166666664,-20.071180555555554,,,
FRB 20220717A,MeerTRAP,293.30383333333333,-19.287583333333334,,,
FRB 20220610A,CRAFT,350.99999999999994,-33.516666666666666,0.0,,
FRB 20220531A,CRAFT,294.70916666666665,-60.29672222222222,,,
FRB 20220501C,CRAFT,352.4583333333333,-32.45,0.0,,
AT 2022frb,"GaiaAlerts, ATLAS",50.983416666666656,-21.527438888888888,17.53,,
FRB 20211203C,CRAFT,204.47,-31.36777777777778,0.0,,
FRB 20211127I,CRAFT,199.7895833333333,-18.824555555555555,,,
FRB 20210924D,TRAPUM,152.75208333333333,-4.691666666666667,,,
FRB 20210912A,CRAFT,351.1679166666666,-30.492527777777777,,,
FRB 20210807D,CRAFT,299.20416666666665,-0.8142777777777779,,,
FRB 20210410D,MeerTRAP,326.08624999999995,-79.31819444444444,,,
